report_date,contract_code,noncomm_long,noncomm_short,comm_long,comm_short,open_interest,net_noncomm,fetched_at
2024-11-19,097741,78973,125841,134065,84856,254087,-46868,2026-07-04T22:16:38.729808+00:00
2024-11-26,097741,87597,110230,122885,99595,253566,-22633,2026-07-04T22:16:38.729808+00:00
2024-12-03,097741,93622,91288,111171,111335,256849,2334,2026-07-04T22:16:38.729808+00:00
2024-12-10,097741,97938,72186,117775,142373,274834,25752,2026-07-04T22:16:38.729808+00:00
2024-12-17,097741,87208,81247,57107,60208,181673,5961,2026-07-04T22:16:38.729808+00:00
2024-12-24,097741,95958,93647,68898,65215,200720,2311,2026-07-04T22:16:38.729808+00:00
2024-12-31,097741,96119,104562,71016,61414,206971,-8443,2026-07-04T22:16:38.729808+00:00
2025-01-07,097741,91206,111395,76577,56293,212456,-20189,2026-07-04T22:16:38.729808+00:00
2025-01-14,097741,91434,120845,88113,57090,223952,-29411,2026-07-04T22:16:38.729808+00:00
2025-01-21,097741,94157,108830,68868,60039,211620,-14673,2026-07-04T22:16:38.729808+00:00
2025-01-28,097741,96809,97768,68683,75420,216788,-959,2026-07-04T22:16:38.729808+00:00
2025-02-04,097741,104684,85916,70418,101101,231911,18768,2026-07-04T22:16:38.729808+00:00
2025-02-11,097741,144158,89543,73890,142044,273314,54615,2026-07-04T22:16:38.729808+00:00
2025-02-18,097741,147566,86997,84001,154194,281163,60569,2026-07-04T22:16:38.729808+00:00
2025-02-25,097741,171751,75771,93060,202005,329186,95980,2026-07-04T22:16:38.729808+00:00
2025-03-04,097741,183955,50304,102081,248000,354415,133651,2026-07-04T22:16:38.729808+00:00
2025-03-11,097741,176790,42888,178522,327791,446178,133902,2026-07-04T22:16:38.729808+00:00
2025-03-18,097741,164752,41788,80456,217232,296567,122964,2026-07-04T22:16:38.729808+00:00
2025-03-25,097741,160474,35098,92999,228739,303778,125376,2026-07-04T22:16:38.729808+00:00
2025-04-01,097741,161566,39792,96971,235518,311162,121774,2026-07-04T22:16:38.729808+00:00
2025-04-08,097741,176555,29488,99659,261328,320758,147067,2026-07-04T22:16:38.729808+00:00
2025-04-15,097741,198560,26705,96118,286463,338849,171855,2026-07-04T22:16:38.729808+00:00
2025-04-22,097741,202373,24559,100299,301221,351226,177814,2026-07-04T22:16:38.729808+00:00
2025-04-29,097741,202797,23585,104910,306807,366246,179212,2026-07-04T22:16:38.729808+00:00
2025-05-06,097741,204008,27149,105878,306490,375546,176859,2026-07-04T22:16:38.729808+00:00
2025-05-13,097741,194226,21958,101140,286031,359521,172268,2026-07-04T22:16:38.729808+00:00
2025-05-20,097741,194510,27180,102102,283123,366865,167330,2026-07-04T22:16:38.729808+00:00
2025-05-27,097741,191802,27790,101750,285448,377011,164012,2026-07-04T22:16:38.729808+00:00
2025-06-03,097741,189514,38365,100151,275659,366008,151149,2026-07-04T22:16:38.729808+00:00
2025-06-10,097741,184195,39600,132044,301121,388263,144595,2026-07-04T22:16:38.729808+00:00
2025-06-17,097741,175601,44724,94915,243088,317523,130877,2026-07-04T22:16:38.729808+00:00
2025-06-24,097741,178403,46126,92034,239744,314767,132277,2026-07-04T22:16:38.729808+00:00
2025-07-01,097741,170624,43286,94864,245721,314251,127338,2026-07-04T22:16:38.729808+00:00
2025-07-08,097741,166192,50037,96636,225316,308621,116155,2026-07-04T22:16:38.729808+00:00
2025-07-15,097741,165444,61862,108744,219590,321350,103582,2026-07-04T22:16:38.729808+00:00
2025-07-22,097741,164411,57766,101532,218892,313040,106645,2026-07-04T22:16:38.729808+00:00
2025-07-29,097741,162122,72879,123152,215700,329115,89243,2026-07-04T22:16:38.729808+00:00
2025-08-05,097741,160258,78252,136734,224075,337378,82006,2026-07-04T22:16:38.729808+00:00
2025-08-12,097741,164693,90459,147170,221065,351163,74234,2026-07-04T22:16:38.729808+00:00
2025-08-19,097741,168363,90782,139967,219849,348982,77581,2026-07-04T22:16:38.729808+00:00
2025-08-26,097741,170765,86281,139358,229508,357366,84484,2026-07-04T22:16:38.729808+00:00
2025-09-02,097741,174774,101516,152763,229019,414249,73258,2026-07-04T22:16:38.729808+00:00
2025-09-09,097741,180724,89081,157854,258296,410799,91643,2026-07-04T22:16:38.729808+00:00
2025-09-16,097741,161673,100262,95157,163495,299620,61411,2026-07-04T22:16:38.729808+00:00
2025-09-23,097741,176400,96900,92252,175491,309893,79500,2026-07-04T22:16:38.729808+00:00
2025-09-30,097741,167811,106346,96572,157317,305711,61465,2026-07-04T22:16:38.729808+00:00
2025-10-07,097741,159197,112890,102742,148716,305134,46307,2026-07-04T22:16:38.729808+00:00
2025-10-14,097741,160639,123473,104332,140952,305003,37166,2026-07-04T22:16:38.729808+00:00
2025-10-21,097741,175724,105310,92611,160505,307569,70414,2026-07-04T22:16:38.729808+00:00
2025-10-28,097741,178745,110630,100864,169477,321889,68115,2026-07-04T22:16:38.729808+00:00
2025-11-04,097741,170180,118915,100952,148803,314190,51265,2026-07-04T22:16:38.729808+00:00
2025-11-10,097741,172349,123873,97752,145775,312845,48476,2026-07-04T22:16:38.729808+00:00
2025-11-18,097741,169890,138733,114082,144609,329456,31157,2026-07-04T22:16:38.729808+00:00
2025-11-25,097741,169218,142701,117192,144676,344420,26517,2026-07-04T22:16:38.729808+00:00
2025-12-02,097741,184958,148540,133444,171567,394859,36418,2026-07-04T22:16:38.729808+00:00
2025-12-09,097741,184488,167040,205773,223832,465416,17448,2026-07-04T22:16:38.729808+00:00
2025-12-16,097741,146275,149217,101002,105746,379679,-2942,2026-07-04T22:16:38.729808+00:00
2025-12-23,097741,141133,139910,99644,105548,285084,1223,2026-07-04T22:16:38.729808+00:00
2025-12-30,097741,144596,130528,95645,114721,286132,14068,2026-07-04T22:16:38.729808+00:00
2026-01-06,097741,140441,131626,94001,106169,287715,8815,2026-07-04T22:16:38.729808+00:00
2026-01-13,097741,111743,156907,114303,68484,294242,-45164,2026-07-04T22:16:38.729808+00:00
2026-01-20,097741,107139,151968,115583,74443,292607,-44829,2026-07-04T22:16:38.729808+00:00
2026-01-27,097741,104460,138393,125157,98448,300726,-33933,2026-07-04T22:16:38.729808+00:00
2026-02-03,097741,114428,133650,122665,108248,303673,-19222,2026-07-04T22:16:38.729808+00:00
2026-02-10,097741,128090,147196,136055,123376,334948,-19106,2026-07-04T22:16:38.729808+00:00
2026-02-17,097741,143172,130217,141766,157934,354328,12955,2026-07-04T22:16:38.729808+00:00
2026-02-24,097741,149364,137825,141918,156647,369721,11539,2026-07-04T22:16:38.729808+00:00
2026-03-03,097741,134945,151520,186027,171020,416977,-16575,2026-07-04T22:16:38.729808+00:00
2026-03-10,097741,119411,160798,220577,174607,427718,-41387,2026-07-04T22:16:38.729808+00:00
2026-03-17,097741,106819,174599,163975,93973,326688,-67780,2026-07-04T22:16:38.729808+00:00
2026-03-24,097741,98271,161077,167443,109542,328210,-62806,2026-07-04T22:16:38.729808+00:00
2026-03-31,097741,95356,168228,185944,115237,345276,-72872,2026-07-04T22:16:38.729808+00:00
2026-04-07,097741,91560,185302,192103,101707,349373,-93742,2026-07-04T22:16:38.729808+00:00
2026-04-14,097741,102114,185322,187189,106141,354344,-83208,2026-07-04T22:16:38.729808+00:00
2026-04-21,097741,101386,195846,188723,93256,351782,-94460,2026-07-04T22:16:38.729808+00:00
2026-04-28,097741,106530,208589,201527,102257,372780,-102059,2026-07-04T22:16:38.729808+00:00
2026-05-05,097741,109035,170773,186544,126894,354005,-61738,2026-07-05T03:30:25.983938+00:00
2026-05-12,097741,100155,175257,203023,128880,362042,-75102,2026-07-05T03:30:25.983938+00:00
2026-05-19,097741,106603,200508,226613,135847,396573,-93905,2026-07-05T03:30:25.983938+00:00
2026-05-26,097741,112993,227660,244888,137196,427294,-114667,2026-07-05T03:30:25.983938+00:00
2026-06-02,097741,114849,244416,312087,184319,505555,-129567,2026-07-05T03:30:25.983938+00:00
2026-06-09,097741,121520,267338,313351,170982,505075,-145818,2026-07-05T03:30:25.983938+00:00
2026-06-16,097741,117375,267507,253831,102451,520825,-150132,2026-07-05T03:30:25.983938+00:00
2026-06-23,097741,113698,259802,252278,109897,431030,-146104,2026-07-05T03:30:25.983938+00:00
